Alcatel OT 813D,http://www.infibeam.com/Mobiles/i-Alcatel-OT-813D-Dual-SIM/P-E-M-Alcatel-OT-813D.html,Alcatel OT 813D,M0001,Match,Code B-Tree Match
Apple iPhone 3GS 8GB,http://www.infibeam.com/Mobiles/i-Apple-iPhone-3GS-8GB/P-E-M-Apple-iPhone-3GS-8GB.html,Apple iPhone 3GS 8GB (Airtel lock),M0341,Match,Code B-Tree Match
BlackBerry 9330,http://www.infibeam.com/Mobiles/i-BlackBerry-3G-9330-SmartPhone/P-E-M-BlackBerry-9330.html,BlackBerry 9330,M0379,Match,Code B-Tree Match
BlackBerry 9800 Torch,http://www.infibeam.com/Mobiles/i-BlackBerry-Torch-9800-OS6-Smartphone/P-E-M-BlackBerry-9800-Torch.html,BlackBerry Torch 9800,M0004,Match,Code B-Tree Match
BlackBerry Bold 9790,http://www.infibeam.com/Mobiles/i-BlackBerry-Bold-9790-SmartPhone/P-E-M-BlackBerry-Bold-9790.html,BlackBerry Bold 9790,M0005,Match,Code B-Tree Match
BlackBerry Bold Touch 9900,http://www.infibeam.com/Mobiles/i-BlackBerry-Bold-Touch-9900-Smartphone/P-E-M-BlackBerry-Bold-Touch-9900.html,BlackBerry Bold 9900,M0006,Match,Code B-Tree Match
BlackBerry Curve 8520,http://www.infibeam.com/Mobiles/i-BlackBerry-Curve-8520-SmartPhone/P-E-M-BlackBerry-Curve8520.html,BlackBerry Curve 8520,M0007,Match,Code B-Tree Match
BlackBerry Curve 9360,http://www.infibeam.com/Mobiles/i-BlackBerry-Curve-9360-Android-Smartphone/P-E-M-BlackBerry-Curve-9360.html,BlackBerry Curve 9360,M0008,Match,Code B-Tree Match
BlackBerry Curve 9380,http://www.infibeam.com/Mobiles/i-BlackBerry-Curve-9380-SmartPhone/P-E-M-BlackBerry-Curve-9380.html,BlackBerry Curve 9380,M0009,Match,Code B-Tree Match
BlackBerry Style 9670,http://www.infibeam.com/Mobiles/i-BlackBerry-Style-9670-3G-Smartphone/P-E-M-BlackBerry-Style-9670.html,BlackBerry 9670,M0010,Match,Code B-Tree Match
BlackBerry Torch 9810,http://www.infibeam.com/Mobiles/i-BlackBerry-Torch-9810-3G-Smartphone/P-E-M-BlackBerry-Torch-9810.html,BlackBerry Torch 9810,M0011,Match,Code B-Tree Match
BlackBerry Torch 9860,http://www.infibeam.com/Mobiles/i-BlackBerry-Torch-9860-Touchscreen-Smartphone/P-E-M-BlackBerry-Torch-9860.html,BlackBerry Torch 9860,M0012,Match,Code B-Tree Match
Dell XCD28,http://www.infibeam.com/Mobiles/i-Dell-XCD28-3G-Android-Smartphone/P-E-M-Dell-XCD28.html,Dell XCD28,M0013,Match,Code B-Tree Match
Dell XCD35,http://www.infibeam.com/Mobiles/i-Dell-XCD35-Android-3G-Smartphone/P-E-M-Dell-XCD35.html,Dell XCD35,M0014,Match,Code B-Tree Match
HTC EVO 3D,http://www.infibeam.com/Mobiles/i-HTC-EVO-3D-Android-Smartphone/P-E-M-HTC-EVO-3D.html,HTC EVO 3D,M0015,Match,Code B-Tree Match
HTC Legend A6363,http://www.infibeam.com/Mobiles/i-HTC-Legend-A6363/P-E-M-HTC-Legend.html,HTC Legend A6363,M0016,Match,Code B-Tree Match
Intex IN 007 Maxima,http://www.infibeam.com/Mobiles/i-Intex-Maxima-Dual-Sim-Mobile/P-E-M-Intex-IN-007-Maxima.html,Intex IN 007 Maxima,M0017,Match,Code B-Tree Match
Intex IN 1212 Nano Plus,http://www.infibeam.com/Mobiles/i-Intex-IN-1212-Nano-Plus/P-E-M-Intex-IN-1212-Nano-Plus.html,Intex Nano IN 1212,M0018,Match,Code B-Tree Match
Intex IN 2040E,http://www.infibeam.com/Mobiles/i-Intex-IN-2040-E-DualSIM/P-E-M-Intex-IN2040E.html,Intex IN 2040E,M0019,Match,Code B-Tree Match
Intex IN 2060,http://www.infibeam.com/Mobiles/i-Intex-IN-2060-Dual-SIM/P-E-M-Intex-2060.html,Intex IN 2060,M0020,Match,Code B-Tree Match
Intex IN 2080,http://www.infibeam.com/Mobiles/i-Intex-IN-2080-Dual-Sim/P-E-M-Intex-IN2080.html,Intex IN 2080,M0021,Match,Code B-Tree Match
Intex IN 5030,http://www.infibeam.com/Mobiles/i-Intex-IN-5030-Triple-SIM/P-E-M-Intex-IN5030.html,Intex IN 5030,M0022,Match,Code B-Tree Match
Intex IN 8809 Projector,http://www.infibeam.com/Mobiles/i-Intex-IN-8009-Vshow-Projector/P-E-M-Intex-IN-8809-Projector.html,Intex IN 8809,M0023,Match,Code B-Tree Match
Intex IN 8810 Projector,http://www.infibeam.com/Mobiles/i-Intex-IN-8810-Projector-Mobile/P-E-M-Intex-IN8810-Projector.html,Intex V.Show Projector IN 8810,M0024,Match,Code B-Tree Match
Intex Kool 4370,http://www.infibeam.com/Mobiles/i-Intex-Kool-Dual-Sim-Mobile/P-E-M-Intex-Kool-4370.html,Intex Kool 4370,M0025,Match,Code B-Tree Match
Karbonn K 111,http://www.infibeam.com/Mobiles/i-Karbonn-K111-Dual-SIM-Multimedia/P-E-M-Karbonn-K111.html,Karbonn K 111,M0610,Match,Code B-Tree Match
Karbonn K 505,http://www.infibeam.com/Mobiles/i-Karbonn-K505-Dual-SIM-Mobile/P-E-M-Karbonn-K505.html,Karbonn K 505,M0027,Match,Code B-Tree Match
Karbonn K336,http://www.infibeam.com/Mobiles/i-Karbonn-K336-Dual-SIM-Multimedia/P-E-M-Karbonn-K336.html,Karbonn K336,M0028,Match,Code B-Tree Match
Karbonn K433,http://www.infibeam.com/Mobiles/i-Karbonn-K433-Dual-Sim/P-E-M-Karbonn-K433.html,Karbonn K433,M0029,Match,Code B-Tree Match
Karbonn K455,http://www.infibeam.com/Mobiles/i-Karbonn-K455-Dual-SIM-Slider/P-E-M-Karbonn-K455.html,Karbonn K455,M0030,Match,Code B-Tree Match
Karbonn K666,http://www.infibeam.com/Mobiles/i-Karbonn-K666-Dual-Sim/P-E-M-Karbonn-K666.html,Karbonn K666,M0031,Match,Code B-Tree Match
LG A120,http://www.infibeam.com/Mobiles/i-LG-A120-Dual-Speaker-Mobile/P-E-M-LG-A120.html,LG A120,M0032,Match,Code B-Tree Match
LG A165,http://www.infibeam.com/Mobiles/i-LG-A165-Dual-SIM-Mobile/P-E-M-LG-A165.html,LG A165,M0033,Match,Code B-Tree Match
LG A230,http://www.infibeam.com/Mobiles/i-LG-A230-Dual-SIM-Mobile/P-E-M-LG-A230.html,LG A230,M0034,Match,Code B-Tree Match
LG BL40 New Chocolate,http://www.infibeam.com/Mobiles/i-LG-BL40-New-Chocolate-Smartphone/P-E-M-LG-BL40.html,LG Chocolate BL40,M0035,Match,Code B-Tree Match
LG C105,http://www.infibeam.com/Mobiles/i-LG-C105-QWERTY-Smartphone/P-E-M-LG-C105.html,LG C105,M0036,Match,Code B-Tree Match
LG Cookie Duet C310,http://www.infibeam.com/Mobiles/i-LG-Cookie-Duet-C310-Smartphone/P-E-M-LG-C310.html,LG C310,M0037,Match,Code B-Tree Match
